Profile,Stage Name,Full Name,Korean Name,Korean Stage Name,Date of Birth,Group,Country,Second Country,Height,Weight,Birthplace,Other Group,Former Group,Position,Instagram
https://dbkpop.com/idol/taeyeon-girls-generation/,Taeyeon,Kim Taeyeon,김태연,태연,1989-03-09,SNSD,South Korea,,160,44,Jeonju,"TTS, Oh!GG",,"Leader, Main Vocalist",https:/www.instagram.com/taeyeon_ss
,Sunny,Lee Sunkyu,이순규 ,써니,1989-05-15,SNSD,South Korea,,158,43,California,,,,https:/www.instagram.com/svnnynight
,Tiffany,Hwang Miyoung,황미영,티파니,1989-08-01,SNSD,South Korea,USA,163,50,San Francisco,TTS,,,https:/www.instagram.com/xolovestephi
,Hyoyeon,Kim Hyoyeon,김효연,효연,1989-09-22,SNSD,South Korea,,158,48,Incheon,,,,https:/www.instagram.com/watasiwahyo
,Yuri,Kwon Yuri,권유리 ,유리,1989-12-05,SNSD,South Korea,,167,45,Goyang,,,,https:/www.instagram.com/yulyulk
,Sooyoung,Choi Sooyoung,최수영 ,수영 ,1990-02-10,SNSD,South Korea,,170,48,Gwangju,,,,https:/www.instagram.com/hotsootuff
,Yoona,Im Yoona,임윤아 ,윤아,1990-05-30,SNSD,South Korea,,166,47,Seoul,,,,https:/www.instagram.com/yoona__lim
,Seohyun,Seo Joohyun,서주현 ,서현 ,1991-06-28,SNSD,South Korea,,168,48,Seoul,TTS,,,https:/www.instagram.com/seojuhyun_s
,Jessica,Jessica Jung,제시카 정,제시카,1989-04-18,,South Korea,,0,0,,,SNSD,,https:/www.instagram.com/jessica.syj
,CL,Lee Chaerin,이채린,씨엘,1991-02-26,2NE1,South Korea,,0,0,,,,,https:/www.instagram.com/chaelincl
,Bom,Park Bom,박봄,봄,1984-03-24,2NE1,South Korea,,0,0,,,,,https:/www.instagram.com/haroobommi
,Dara,Park Sandara,박산다라,다라,1984-11-12,2NE1,South Korea,,0,0,,,,,https:/www.instagram.com/daraxxi
,Minzy,Kong Minji,공민지,민지,1994-01-18,2NE1,South Korea,,0,0,,,,,https:/www.instagram.com/
,Hyorin,Kim Hyojung,김효정,효린,1990-12-11,SISTAR,South Korea,,0,0,,SISTAR19,,,https:/www.instagram.com/xhyolynx
,Bora,Yoon Bora,윤보라,보라,1989-12-30,SISTAR,South Korea,,0,0,,SISTAR19,,,https:/www.instagram.com/borabora_sugar
,Soyou,Kang Jihyun,강지현,소유,1992-02-12,SISTAR,South Korea,,0,0,,,,,https:/www.instagram.com/soooo_you
,Dasom,Kim Dasom,김다솜,다솜,1993-05-06,SISTAR,South Korea,,0,0,,,,,https:/www.instagram.com/som0506
,Jihyun,Nam Jihyun,남지현,지현,1990-01-09,4minute,South Korea,,167,0,Seoul,,,,https:/www.instagram.com/njh9019
